"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"0dbbf862-4eb0-4ecb-9cee-d9c270792318","dorvm6vtatvrtt.tei.xml","vlmo","from=/TEI[1]/text[1]/body[1]/div[2]/p[10]::268;to=/TEI[1]/text[1]/body[1]/div[2]/p[10]::272","PLACE","http://pleiades.stoa.org/places/207525","‘Ulmo’|‘Ulmo’, Tovarnik","-0030/0640","45.1640611","19.1515532","station","VERIFIED","@cert:high","","",""
"c6ce996e-a3b0-4044-90d9-ecfda4a043eb","dorvm6vtatvrtt.tei.xml","spaneta","from=/TEI[1]/text[1]/body[1]/div[2]/p[10]::290;to=/TEI[1]/text[1]/body[1]/div[2]/p[10]::297","PLACE","http://pleiades.stoa.org/places/207460","Spaneta|Spaneta, Bačinci","-0030/0640","45.082","19.308","station","VERIFIED","@cert:high","","",""
"ab3b8fc0-12df-45a2-9f1e-0c7b58992f71","dorvm6vtatvrtt.tei.xml","vedulia","from=/TEI[1]/text[1]/body[1]/div[2]/p[10]::314;to=/TEI[1]/text[1]/body[1]/div[2]/p[10]::321","PLACE","http://pleiades.stoa.org/places/206995","Budalia|Budalia, Martinci","-0030/0640","45.01","19.463","station","VERIFIED","@cert:high","","",""
"79f6cdcf-af22-4701-87f5-296783bb0991","dorvm6vtatvrtt.tei.xml","sirmium","from=/TEI[1]/text[1]/body[1]/div[2]/p[10]::341;to=/TEI[1]/text[1]/body[1]/div[2]/p[10]::348","PLACE","http://pleiades.stoa.org/places/207447","Circus, Sremska Mitrovica|Sirmium|Sirmium, Sremska Mitrovica|Sremska Mitrovica","-0030/2100","44.96775","19.61028","settlement","VERIFIED","@cert:high","","",""
"7861ae6e-47d9-49b0-984b-f9d1ffc5d961","dorvm6vtatvrtt.tei.xml","aquileia","from=/TEI[1]/text[1]/body[1]/div[2]/p[11]::7;to=/TEI[1]/text[1]/body[1]/div[2]/p[11]::15","PLACE","http://pleiades.stoa.org/places/187290","Aquileia|Aquileia, Aquileia|Aquileia","-0330/0640","45.769631","13.370946","church,settlement","VERIFIED","@cert:high","","",""
"3739a126-4f23-471b-9008-f629a258152e","dorvm6vtatvrtt.tei.xml","sirmium","from=/TEI[1]/text[1]/body[1]/div[2]/p[11]::17;to=/TEI[1]/text[1]/body[1]/div[2]/p[11]::24","PLACE","http://pleiades.stoa.org/places/207447","Circus, Sremska Mitrovica|Sirmium|Sirmium, Sremska Mitrovica|Sremska Mitrovica","-0030/2100","44.96775","19.61028","settlement","VERIFIED","@cert:high","","",""
"47adf0da-9597-4fb7-803e-6313dd855384","dorvm6vtatvrtt.tei.xml","sirmium","from=/TEI[1]/text[1]/body[1]/div[3]/p[2]::8;to=/TEI[1]/text[1]/body[1]/div[3]/p[2]::15","PLACE","http://pleiades.stoa.org/places/207447","Circus, Sremska Mitrovica|Sirmium|Sirmium, Sremska Mitrovica|Sremska Mitrovica","-0030/2100","44.96775","19.61028","settlement","VERIFIED","@cert:high","","",""
"2d1e72f5-0eac-4e96-a190-2f501839220c","dorvm6vtatvrtt.tei.xml","aquileia","from=/TEI[1]/text[1]/body[1]/div[3]/p[3]::7;to=/TEI[1]/text[1]/body[1]/div[3]/p[3]::15","PLACE","http://pleiades.stoa.org/places/187290","Aquileia|Aquileia, Aquileia|Aquileia","-0330/0640","45.769631","13.370946","church,settlement","VERIFIED","@cert:high","","",""
"ae714414-6611-4873-a800-395033e2d7c9","dorvm6vtatvrtt.tei.xml","sirmium","from=/TEI[1]/text[1]/body[1]/div[3]/p[3]::17;to=/TEI[1]/text[1]/body[1]/div[3]/p[3]::24","PLACE","http://pleiades.stoa.org/places/207447","Circus, Sremska Mitrovica|Sirmium|Sirmium, Sremska Mitrovica|Sremska Mitrovica","-0030/2100","44.96775","19.61028","settlement","VERIFIED","@cert:high","","",""
"7e0ebb47-a274-4c32-8fa6-c8c10b2a5e54","dorvm6vtatvrtt.tei.xml","fossis","from=/TEI[1]/text[1]/body[1]/div[3]/p[4]::8;to=/TEI[1]/text[1]/body[1]/div[3]/p[4]::14","PLACE","http://pleiades.stoa.org/places/207120","Fossae|Fossae, Sasinci","-0030/0640","44.966","19.743","station","VERIFIED","@cert:high","","",""
"911ee01c-c213-488b-8aa1-77151e56e732","dorvm6vtatvrtt.tei.xml","bassianis","from=/TEI[1]/text[1]/body[1]/div[3]/p[4]::35;to=/TEI[1]/text[1]/body[1]/div[3]/p[4]::44","PLACE","http://pleiades.stoa.org/places/206960","Bassiana|Bassiana|Bassiana, Donji Petrovci|Bassiana, Sárvár","-0030/0640","44.9707","19.97406","settlement","VERIFIED","@cert:high","","",""
"69a7e19e-fa04-4be5-a1be-867f09834edc","dorvm6vtatvrtt.tei.xml","nouiciani","from=/TEI[1]/text[1]/body[1]/div[3]/p[4]::61;to=/TEI[1]/text[1]/body[1]/div[3]/p[4]::70","PLACE","http://pleiades.stoa.org/places/207313","‘Noviciani’","-0030/0640","44.5","20.5","people","VERIFIED","@ana:#misplaced|@cert:high","","",""
"45fb6e31-e241-4a15-b550-10dc69b996c6","dorvm6vtatvrtt.tei.xml","altina","from=/TEI[1]/text[1]/body[1]/div[3]/p[4]::89;to=/TEI[1]/text[1]/body[1]/div[3]/p[4]::95","PLACE","http://pleiades.stoa.org/places/206913","Altina|Altina, Surčin","-0030/0640","44.7891667","20.2747222","station","VERIFIED","@cert:high","","",""
"5753bc15-9d41-4f08-b6f4-2d34598e4598","dorvm6vtatvrtt.tei.xml","singiduno","from=/TEI[1]/text[1]/body[1]/div[3]/p[4]::113;to=/TEI[1]/text[1]/body[1]/div[3]/p[4]::122","PLACE","http://pleiades.stoa.org/places/207443","Singidunum|Singidunum, Beograd","-0030/2100","44.8236","20.4503","settlement","VERIFIED","@cert:high","","",""
"63fa23a9-df40-4011-a964-1a97c23fbbe2","dorvm6vtatvrtt.tei.xml","pannoniae","from=/TEI[1]/text[1]/body[1]/div[3]/p[5]::12;to=/TEI[1]/text[1]/body[1]/div[3]/p[5]::21","PLACE","http://pleiades.stoa.org/places/197425","Pannonia","-0550/0640","46.5","15.5","province","VERIFIED","@cert:high","","",""
"62083558-46ca-406c-bd5a-34355cb7d3c2","dorvm6vtatvrtt.tei.xml","ad sextum","from=/TEI[1]/text[1]/body[1]/div[3]/p[5]::41;to=/TEI[1]/text[1]/body[1]/div[3]/p[5]::50","PLACE","","","","","","","UNVERIFIED","@cert:unknown","","",""
"2082c4ab-497d-4538-8ed7-fea50417afa0","dorvm6vtatvrtt.tei.xml","tricornia","from=/TEI[1]/text[1]/body[1]/div[3]/p[5]::68;to=/TEI[1]/text[1]/body[1]/div[3]/p[5]::77","PLACE","http://pleiades.stoa.org/places/207515","Tricornium|Tricornium, Ritopek|Tricornium, Ritopek","-0030/0640","44.7333333","20.65","fort","VERIFIED","@cert:high","","",""
"1051c940-66e8-4418-aad1-5d461eaed9a1","dorvm6vtatvrtt.tei.xml","ad sextum","from=/TEI[1]/text[1]/body[1]/div[3]/p[5]::102;to=/TEI[1]/text[1]/body[1]/div[3]/p[5]::111","PLACE","http://pleiades.stoa.org/places/206893","Ad Sextum Miliarem|Ad Sextum Miliarem, Grocka","-0030/0640","44.67","20.717222","station","VERIFIED","@cert:high","","",""
"39c7de10-c33a-49ac-878b-48e3487af1bd","dorvm6vtatvrtt.tei.xml","aureo monte","from=/TEI[1]/text[1]/body[1]/div[3]/p[5]::139;to=/TEI[1]/text[1]/body[1]/div[3]/p[5]::150","PLACE","http://pleiades.stoa.org/places/206938","*Aureus Mons|*Aureus Mons, Seone","-0030/0640","44.6363889","20.8186111","fort","VERIFIED","@cert:high","","",""
"d730762b-007a-4d9c-aab2-eb8a60928bdb","dorvm6vtatvrtt.tei.xml","vingeio","from=/TEI[1]/text[1]/body[1]/div[3]/p[5]::168;to=/TEI[1]/text[1]/body[1]/div[3]/p[5]::175","PLACE","http://pleiades.stoa.org/places/207550","Vinceia|Vinceia, Smederevo","-0030/0640","44.651382","20.935513","station","VERIFIED","@cert:high","","",""
"8254ebf1-0076-4671-be3d-fc4c93915c17","dorvm6vtatvrtt.tei.xml","margo","from=/TEI[1]/text[1]/body[1]/div[3]/p[5]::193;to=/TEI[1]/text[1]/body[1]/div[3]/p[5]::198","PLACE","http://pleiades.stoa.org/places/207267","Margum|Margum, Orašje, Dubravica","-0030/0640","44.696115","21.077871","settlement","VERIFIED","@cert:high","","",""
